No.,Index,Address,English Name,Type in Python,Value,
0,0,21,65_RV_01B_F,Real,0,
1,1,22,65_VFBD_01_F,Real,0,
2,2,23,65_VFBD_02_F,Real,0,
3,3,24,65_SV_01_F,Real,0,
4,4,25,65_SC_02_F,Real,0,
5,5,26,65_EXF_01A_F,Real,0,
6,6,27,65_EXF_01B_F,Real,0,
7,7,28,65_EXF_01C_F,Real,0,
8,8,29,65_FD_01A_F,Real,0,
9,9,30,65_FD_01B_F,Real,0,
10,10,31,65_FD_01C_F,Real,0,
11,11,32,65_TT_01B,Real,0,
12,12,33,65_TT_02B,Real,0,
13,13,34,65_TT_03B,Real,0,
14,14,35,65_TT_04B,Real,0,
15,15,36,65_TT_05B,Real,0,
16,16,37,65_TT_06B,Real,0,
17,17,38,65_PT_01B,Real,0,x
18,18,39,65_PT_02B,Real,0,x
19,19,40,65_PT_03B,Real,0,x
20,20,41,65_FT_01,Real,0,
21,21,42,65_TIDC_01B_Td,Real,0,
22,22,43,65_TIDC_01B_T,Real,0,
23,23,44,65_TIDC_01B_X,Real,0,
24,24,45,65_TIDC_01B_RH,Real,0,
25,25,46,65_TIDC_02B_Td,Real,0,
26,26,47,65_TIDC_02B_T,Real,0,
27,27,48,65_TIDC_02B_X,Real,0,
28,28,49,65_TIDC_02B_RH,Real,0,
29,29,50,Tota_Flow,Real,0,
30,30,51,65_WIT_01B,Real,0,x
31,31,52,65_WIT_02B,Real,0,x
32,32,53,65_PIDV_01_Value,Real,0,
33,33,54,65_PIDV_02_Value,Real,0,
34,34,55,65_PIDV_03_Value,Real,0,
